PredictedProbability,MoleculeId
0.999969,1
0.9956514,2
0.71711004,3
0.9902968,4
0.02725884,5
0.86833,6
0.9930862,7
0.97742677,8
0.99383074,9
0.9917671,10
0.96578205,11
0.905604,12
0.9942884,13
0.99834764,14
0.9654368,15
0.6223399,16
0.46737134,17
0.09639667,18
0.9421525,19
0.99816793,20
0.4262758,21
0.9999819,22
0.9409688,23
0.99854684,24
0.99999964,25
0.92436534,26
0.16955411,27
0.28917217,28
0.6917034,29
0.803539,30
0.37043014,31
0.17919932,32
0.96942234,33
0.61683786,34
0.6030367,35
0.92951244,36
0.9913699,37
0.9073161,38
0.971839,39
0.99929315,40
0.31142044,41
0.19694303,42
0.9941831,43
0.9736143,44
0.2636082,45
0.69119924,46
0.91325563,47
0.95786583,48
0.9940077,49
0.98023075,50
0.9865739,51
0.120311216,52
0.9997644,53
0.18721928,54
0.32011867,55
0.9995627,56
0.99611,57
0.99997234,58
0.99980944,59
0.9431769,60
0.8861445,61
0.9334027,62
0.22735524,63
0.10876146,64
0.8410154,65
0.75725424,66
0.96460456,67
0.06505199,68
0.5096758,69
0.1751978,70
0.92276496,71
0.91628116,72
0.9877631,73
0.99886954,74
0.99963593,75
0.6910748,76
0.9999951,77
0.89984643,78
0.9855737,79
0.20305288,80
0.6083127,81
0.85246795,82
0.33881152,83
0.25193116,84
0.8925773,85
0.6340554,86
0.8427722,87
0.9993888,88
0.98954123,89
0.95977026,90
0.9150396,91
0.9840148,92
0.50721854,93
0.31701168,94
0.9938783,95
0.79724276,96
0.90237,97
0.99928695,98
0.99913436,99
0.9996235,100
0.8902119,101
0.8872397,102
0.9840814,103
0.7401109,104
0.7539395,105
0.68395793,106
0.80309975,107
0.91843617,108
0.99727935,109
0.022219034,110
0.56432766,111
0.946807,112
0.50885296,113
0.9993311,114
0.9992218,115
0.25620368,116
0.9850824,117
0.030308412,118
0.95401126,119
0.62806875,120
0.03644186,121
0.37510523,122
0.8885582,123
0.62599474,124
0.90610975,125
